@relation cone

@attribute X real
@attribute Y real
@attribute Inside {0, 1}

@data
9.597231701,3.047939912,0
5.125419472,2.213938928,0
8.140902653,2.803226709,0
2.436018158,1.510774858,0
6.066830835,2.413093753,0
7.057334938,2.606564499,0
5.367194962,2.266720735,0
8.906838539,2.9344327,0
1.394867593,1.131045127,0
7.172010447,2.628060949,0
5.04877073,2.19694698,0
4.721423633,2.122883714,0
5.615681935,2.31974301,0
4.745208736,2.128350003,0
1.915299386,1.333943418,0
0.652069957,0.757508487,0
2.090017606,1.395689319,0
8.709846506,2.901244908,0
5.886442216,2.37619913,0
5.237597816,2.238579869,0
1.242824261,1.064820282,0
1.766390621,1.27905629,0
8.874470795,2.929005001,0
9.329756791,3.004465058,0
1.948939687,1.3460443,0
7.047284464,2.604672195,0
1.50772071,1.177892793,0
7.421668903,2.674274014,0
4.25464142,2.012678215,0
4.318552061,2.02811262,0
4.540522106,2.08085009,0
2.039759241,1.378201401,0
6.705104051,2.539421567,0
0.322982948,0.518315887,0
2.319911525,1.473125577,0
0.805884696,0.847710809,0
2.980572413,1.676433437,0
6.793528907,2.556439891,0
2.936465987,1.663611971,0
4.968987608,2.179122609,0
4.858136448,2.154118066,0
5.323212963,2.257208912,0
1.388095951,1.128174839,0
5.312659187,2.254920647,0
7.827790831,2.747818942,0
0.067926812,0.210627728,0
2.167312681,1.422179568,0
0.969622796,0.934694265,0
5.80684906,2.359740455,0
4.995777385,2.185123573,0
6.854265866,2.568065291,0
5.486986151,2.292431675,0
7.428716897,2.675567261,0
3.161849014,1.728158883,0
3.110617166,1.713694182,0
9.733414086,3.069841997,0
3.110841401,1.71375775,0
0.389434283,0.574046699,0
7.609202227,2.708478245,0
0.667530502,0.767025399,0
2.623242661,1.569642757,0
7.563406846,2.700164876,0
8.650940681,2.89124815,0
5.365528938,2.266361141,0
3.389852419,1.791155186,0
6.463267175,2.492295651,0
8.663930273,2.893455499,0
3.71338983,1.877015783,0
8.783430987,2.913685372,0
7.172785717,2.62820569,0
1.670919538,1.242640529,0
2.537658497,1.543002981,0
0.708946276,0.791989475,0
2.450960983,1.515554529,0
7.947743372,2.769174236,0
7.889470989,2.758820213,0
8.455173058,2.857778028,0
5.488654432,2.292787748,0
7.953430626,2.770182729,0
3.99853696,1.949634206,0
4.138335472,1.984289918,0
0.072361582,0.219001082,0
6.596412593,2.518348223,0
0.952591194,0.926007784,0
8.932060427,2.938655287,0
5.466211573,2.287993065,0
2.130296256,1.409553444,0
7.413385995,2.672753385,0
7.027549098,2.600952489,0
3.032940145,1.691533848,0
0.134384467,0.316584871,0
6.029775312,2.405560081,0
2.378487654,1.49223463,0
0.099037036,0.264701503,0
5.112022936,2.210978314,0
0.849692025,0.871787408,0
5.42994729,2.280224729,0
9.314697143,3.001998877,0
6.898893979,2.576574571,0
0.382995555,0.568866346,0
4.0512818,2.06277962,1
2.612011246,1.666171787,1
3.841785203,2.010047245,1
1.770755249,1.380697279,1
1.121547094,1.109031205,1
6.08905505,2.517601072,1
9.540146681,3.138712787,1
6.382338577,2.576329071,1
3.632373065,1.955878555,1
4.059669425,2.064862135,1
1.39700818,1.231951006,1
3.555743468,1.93566791,1
1.649515377,1.334334605,1
0.031094557,0.226336487,1
4.928580907,2.270040744,1
1.596415311,1.313493297,1
2.491730222,1.62852153,1
0.856087385,0.975249904,1
5.321954443,2.356936159,1
0.875027358,0.98542897,1
4.570904243,2.187967316,1
1.630087181,1.326748676,1
1.753847698,1.37432915,1
6.166319377,2.533207478,1
7.17687865,2.728969699,1
7.734549787,2.831105857,1
1.189193539,1.140501508,1
7.785510867,2.840252832,1
8.887058908,3.031117057,1
6.753935158,2.648833422,1
7.141071499,2.722278335,1
8.908883636,3.034775307,1
6.405646445,2.580937859,1
1.255390929,1.170442292,1
5.9810303,2.495614503,1
7.076150337,2.710103445,1
7.330400092,2.757471162,1
8.129633666,2.901251246,1
3.391355068,1.891563213,1
5.7892721,2.456090626,1
8.994520198,3.049086561,1
8.95826785,3.04303656,1
9.675541022,3.16055317,1
2.471971226,1.62225037,1
9.140463991,3.073320028,1
3.711020222,1.976400847,1
3.257334322,1.854808666,1
7.374101591,2.765529707,1
1.293345679,1.187253569,1
2.747667685,1.707609027,1
8.367063773,2.94258773,1
